"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Joel Embiid","PHI","PF,C DTD","30.4","11.8","3.9","1.5","1.1",".498",".825","1.3","67","33.7","3.2"
"Giannis Antetokounmpo","MIL","PF,C DTD","30.1","11.7","5.9","1.4","1.1",".547",".718","1.1","72","33.8","3.2"
"Luka Doncic","DAL","PG,SG","29.2","9.5","8.9","0.6","1.2",".462",".751","3.2","73","35.1","4.4"
"Kevin Durant","BKN","SF,PF","29.0","7.2","6.0","0.9","0.9",".512",".901","2.2","68","36.0","3.4"
"Ja Morant","MEM","PG","28.9","5.6","7.3","0.4","1.2",".495",".771","1.7","71","34.2","3.6"
"LeBron James","LAL","PG,SG,SF,PF","28.7","7.5","6.2","0.9","1.2",".522",".735","2.8","68","34.2","3.3"
"Zion Williamson","NOR","PF","27.4","7.3","3.9","0.6","0.9",".602",".706","0.3","63","33.1","2.7"
"Jayson Tatum","BOS","SF,PF DTD","27.4","7.8","4.6","0.6","1.0",".458",".856","3.1","76","35.8","2.9"
"Devin Booker","PHO","SG,SF,PG DTD","27.0","5.1","4.9","0.4","1.2",".465",".870","2.7","73","34.9","2.5"
"Trae Young","ATL","PG DTD","26.9","3.8","8.9","0.1","1.0",".456",".905","3.1","76","34.9","3.9"
"Kyrie Irving","BKN","PG,SG DTD","26.9","4.4","5.7","0.5","1.3",".472",".926","3.2","62","36.3","2.5"
"Damian Lillard","POR","PG","26.8","3.9","7.4","0.3","0.9",".444",".881","3.7","71","35.9","2.9"
"DeMar DeRozan","CHI","SF,PF,SG DTD","26.2","5.0","4.8","0.3","0.9",".488",".871","0.7","77","35.6","2.4"
"Nikola Jokic","DEN","PF,C DTD","26.2","12.5","8.1","0.8","1.4",".567",".826","1.3","76","33.7","3.6"
"Shai Gilgeous-Alexander","OKC","PG,SG","25.6","4.8","5.6","0.7","1.2",".467",".825","1.9","67","35.2","2.9"
"Stephen Curry","GSW","PG,SG","25.2","5.1","6.3","0.3","1.3",".446",".921","4.4","67","33.9","3.2"
"Zach LaVine","CHI","SG,SF","24.6","4.6","4.5","0.3","0.7",".477",".848","2.8","71","34.7","2.5"
"Bradley Beal","WAS","SG,SF","24.5","4.7","6.1","0.4","1.0",".462",".842","2.0","71","35.5","3.2"
"Kawhi Leonard","LAC","SG,SF,PF","24.4","6.6","4.8","0.4","1.5",".489",".890","1.9","61","33.0","2.2"
"De'Aaron Fox","SAC","PG DTD","24.1","4.0","6.6","0.4","1.3",".478",".740","1.5","69","35.3","2.9"
"Jaylen Brown","BOS","SG,SF DTD","23.9","6.2","3.6","0.3","1.1",".474",".762","2.6","73","34.1","2.6"
"Karl-Anthony Towns","MIN","C","23.8","9.4","3.5","1.1","0.9",".519",".785","2.2","73","33.4","3.1"
"Anthony Davis","LAL","PF,C DTD","23.7","9.5","3.1","2.0","1.3",".513",".743","0.6","63","35.1","2.2"
"Paul George","LAC","SF,PF,SG DTD","23.4","6.6","5.1","0.5","1.7",".449",".858","3.1","67","34.8","3.5"
"Brandon Ingram","NOR","SF,PF DTD","23.0","5.4","5.1","0.5","0.8",".457",".826","1.6","68","34.2","2.6"
"Anthony Edwards","MIN","SG,SF","22.9","4.6","4.1","0.6","1.5",".444",".787","3.2","74","35.1","2.6"
"Donovan Mitchell","CLE","PG,SG","22.9","3.9","5.4","0.2","1.3",".457",".835","2.9","73","33.7","2.7"
"LaMelo Ball","CHA","PG,SG","22.7","6.8","8.4","0.4","1.6",".435",".863","3.3","76","34.0","3.5"
"Jalen Green","HOU","SG","22.5","3.6","3.2","0.3","0.7",".445",".803","3.0","74","34.0","2.2"
"Pascal Siakam","TOR","PF,C","22.3","8.3","5.1","0.7","1.2",".482",".755","1.3","73","37.4","2.7"
"James Harden","PHI","PG,SG","22.1","7.3","9.8","0.5","1.3",".429",".871","2.4","72","35.4","4.1"
"CJ McCollum","NOR","PG,SG","21.7","4.4","5.0","0.4","1.1",".453",".707","2.9","73","34.8","2.1"
"Cade Cunningham","DET","PG,SG DTD","21.6","5.9","6.6","0.7","1.2",".437",".864","2.0","74","34.3","3.8"
"Klay Thompson","GSW","SG,SF","21.6","4.2","2.8","0.5","0.6",".438",".887","3.7","67","31.8","1.5"
"Jimmy Butler","MIA","SF,PF,SG DTD","21.4","6.1","5.6","0.4","1.6",".480",".873","0.6","61","34.2","2.3"
"Kristaps Porzingis","WAS","PF,C DTD","21.0","8.8","2.2","1.6","0.7",".472",".865","1.6","60","30.5","1.8"
"RJ Barrett","NYK","SG,SF","20.9","6.3","3.0","0.3","0.7",".427",".713","2.1","75","35.0","2.1"
"Khris Middleton","MIL","SF,PF,SG DTD","20.7","5.5","5.4","0.3","1.2",".459",".898","2.5","68","32.6","2.9"
"Tyler Herro","MIA","PG,SG DTD","20.7","5.0","4.2","0.1","0.7",".442",".875","2.6","71","33.1","2.7"
"Collin Sexton","UTH","PG,SG","20.5","3.4","4.3","0.2","1.1",".455",".800","1.5","74","32.9","2.7"
"Julius Randle","NYK","PF,C DTD","20.5","9.6","4.9","0.5","0.8",".440",".769","1.8","75","35.3","3.1"
"Terry Rozier","CHA","PG,SG","20.5","4.3","4.5","0.3","1.3",".445",".849","3.1","74","34.1","1.5"
"Darius Garland","CLE","PG,SG","20.4","3.2","8.3","0.1","1.3",".465",".897","2.4","73","34.9","3.0"
"Keldon Johnson","SAS","SF,PF DTD","20.3","6.5","2.5","0.2","0.8",".466",".780","2.5","70","34.2","1.6"
"Fred VanVleet","TOR","PG,SG DTD","20.0","4.2","6.6","0.5","1.6",".405",".872","3.6","68","36.9","2.5"
"Domantas Sabonis","SAC","PF,C DTD","19.4","12.2","5.8","0.6","1.0",".550",".737","0.6","72","34.4","3.1"
"Bam Adebayo","MIA","PF,C DTD","19.4","10.1","3.9","1.0","1.3",".557",".761","0.1","72","33.2","2.9"
"Desmond Bane","MEM","PG,SG,SF DTD","19.1","4.5","3.1","0.3","1.2",".460",".903","3.1","76","31.6","1.6"
"Jamal Murray","DEN","PG,SG","19.0","4.0","4.5","0.3","1.1",".449",".852","2.4","67","32.5","2.0"
"Anfernee Simons","POR","PG,SG OUT","19.0","3.1","3.6","0.1","0.6",".438",".863","3.2","70","33.1","2.2"
"Dillon Brooks","MEM","SG,SF","19.0","3.4","2.5","0.3","1.1",".426",".844","1.8","68","29.7","1.7"
"Dejounte Murray","ATL","PG,SG","18.9","6.4","6.2","0.3","1.9",".460",".818","1.3","73","34.5","2.5"
"Tyrese Maxey","PHI","PG,SG","18.8","3.1","3.9","0.3","0.8",".477",".861","2.1","76","34.9","1.3"
"Jalen Brunson","NYK","PG,SG","18.7","3.8","6.3","0.0","0.9",".493",".833","1.5","77","34.1","1.8"
"Jordan Poole","GSW","PG,SG","18.7","3.5","4.1","0.3","0.8",".447",".916","2.8","77","30.6","2.6"
